processo;base;fonte;data;descricao
3016257-70.2025.8.19.0001;eproc_tjrj;eproc/TJRJ;20/05/2026 03:22;Evento 90 - Decorrido prazo - Refer. ao Evento: 84
3016257-70.2025.8.19.0001;eproc_tjrj;eproc/TJRJ;19/05/2026 18:39;Evento 89 - Comunicação eletrônica recebida - decisão proferida em Agravo de Instrumento Número: 30019179020268190000/TJRJ
5140460-06.2025.4.02.5101;eproc_jfrj;eproc/JFRJ;19/05/2026 10:56;Evento 20 - Juntado(a)
5140460-06.2025.4.02.5101;eproc_jfrj;eproc/JFRJ;19/05/2026 08:31;Evento 19 - Decisão interlocutória
